date,albany_do,norrie_do,albany_rainfall,norrie_rainfall,albany_turbidity,norrie_turbidity
2011-08-28 16:00:00,8.03,7.56,4.76999,6.029988,30.2,34.1
2011-08-28 16:15:00,8.02,7.53,4.81999,6.029988,26.9,34.8
2011-08-28 16:30:00,8.01,7.52,4.85999,6.029988,25.9,34.9
2011-08-28 16:45:00,7.99,7.55,4.86999,6.029988,26.6,39.1
2011-08-28 17:00:00,7.96,7.54,4.87999,6.029988,40.0,38.7
2011-08-28 17:15:00,7.95,7.53,4.87999,6.029988,46.6,35.3
2011-08-28 17:30:00,7.93,7.49,4.88999,6.029988,48.6,39.4
2011-08-28 17:45:00,7.94,7.51,4.88999,6.029988,51.3,38.5
2011-08-28 18:00:00,7.94,7.55,4.88999,6.029988,50.6,39.9
2011-08-28 18:15:00,7.93,7.6,4.88999,6.029988,48.9,45.7
2011-08-28 18:30:00,7.95,7.6,4.88999,6.029988,43.4,54.1
